year,income,gdp,gdp_index,income_index
1953-01-01,40870,18268,100,100
1954-01-01,39710,17636,96.54039851105759,97.16173232199658
1955-01-01,42340,18396,100.7006787825706,103.59677024712504
1956-01-01,45060,18658,102.13488066564484,110.25201859554686
1957-01-01,45340,18881,103.35559448215459,110.93711769023733
1958-01-01,45260,18032,98.70812349463543,110.74137509175435
1959-01-01,47710,19041,104.23144296036786,116.73599217029607
1960-01-01,48760,19614,107.36807532296912,119.30511377538538
1961-01-01,49270,19130,104.718633676374,120.55297284071446
1962-01-01,50670,20254,110.8714692358222,123.97846831416688
1963-01-01,52400,20677,113.18699365009851,128.21140200636162
1964-01-01,54550,21657,118.55156557915481,133.47198434059214
1965-01-01,56700,22547,123.42347273921612,138.7325666748226
1966-01-01,59710,24172,132.31880884606963,146.09738194274527
1967-01-01,60950,24602,134.67265163126777,149.1313922192317
1968-01-01,63790,25288,138.42785198160718,156.08025446537803
1969-01-01,66870,26162,143.21217429384717,163.61634450697332
1970-01-01,66700,25973,142.17757827895775,163.20039148519697
1971-01-01,66680,26328,144.12086708999342,163.15145583557623
1972-01-01,69730,26932,147.42719509524852,170.6141424027404
1973-01-01,71240,28687,157.03415809065032,174.30878394910692
1974-01-01,69450,28606,156.59075979855487,169.92904330804993
1975-01-01,68170,27690,151.57652726078388,166.797161732322
1976-01-01,70310,29099,159.28946792204948,172.03327624174213
1977-01-01,70680,29749,162.8476023647909,172.93858575972595
1978-01-01,72900,30653,167.79614626669584,178.37044286762907
1979-01-01,73940,32294,176.77906722137072,180.915096647908
1980-01-01,71470,32377,177.23341361944384,174.87154391974553
1981-01-01,69470,32550,178.18042478651194,169.97797895767067
1982-01-01,68570,31529,172.59141668491353,167.77587472473695
1983-01-01,69030,31686,173.45084300416028,168.9013946660142
1984-01-01,71250,34103,186.68162907816946,174.3332517739173
1985-01-01,72300,35346,193.48587694328882,176.9023733790066
1986-01-01,75550,36476,199.67155682067002,184.85441644237827
1987-01-01,76830,37132,203.26253558134445,187.98629801810617
1988-01-01,77010,38359,209.97919859864243,188.42671886469293
1989-01-01,78410,39648,217.03525290124807,191.85221433814533
1990-01-01,77260,40361,220.93825268228596,189.03841448495228
1991-01-01,75790,39451,215.956864462448,185.44164423782726
1992-01-01,75220,40051,219.24129625574778,184.0469782236359
1993-01-01,74170,40829,223.50010948105975,181.4778566185466
1994-01-01,76170,41713,228.3391723231881,186.37142158062147
1995-01-01,77920,42654,233.4902561856799,190.65329092243698
1996-01-01,79070,43259,236.80205824392382,193.46709077563006
1997-01-01,81560,44590,244.08802277206044,199.55957915341327
1998-01-01,84380,46204,252.92314429603678,206.4595057499388
1999-01-01,86370,47880,262.09765710532076,211.32860288720332
2000-01-01,86740,49335,270.06240420407266,212.23391240518717
2001-01-01,85960,49911,273.2154587256405,210.325422069978
2002-01-01,85350,50091,274.2007882636304,208.83288475654513
2003-01-01,85230,50462,276.23166192248743,208.53927085882066
2004-01-01,85320,52179,285.6306109043135,208.75948128211402
2005-01-01,86190,53719,294.0606525071163,210.88818204061658
2006-01-01,87060,54927,300.6733085176264,213.01688279911914
2007-01-01,89170,55260,302.49616816290785,218.17959383410815
2008-01-01,86250,55497,303.7935187212612,211.03498898947885
2009-01-01,84580,53221,291.3345741186775,206.9488622461463
2010-01-01,83640,53683,293.86358659951827,204.64888671397114
2011-01-01,82110,54341,297.46551346617036,200.90530951798385
2012-01-01,82230,55342,302.94504050799213,201.19892341570832
2013-01-01,85470,55859,305.77512590321874,209.12649865426962
2014-01-01,85760,56345,308.43551565579156,209.8360655737705
2015-01-01,91060,58121,318.1574337639588,222.8040127232689
2016-01-01,92830,58704,321.34880665644846,227.13481771470518
2017-01-01,95520,59494,325.6733085176264,233.71666258869587
2018-01-01,96730,61093,334.4263192467703,236.67726939075115
2019-01-01,104200,61939,339.057368075323,254.95473452410081
2020-01-01,101200,62463,341.92577184147143,247.6143870809885
2021-01-01,101700,63490,347.54762426100285,248.83777832150722
2022-01-01,98870,65770,360.02846507554193,241.91338390017125
2023-01-01,103400,66781,365.562732647252,252.99730853927085
2024-01-01,105800,68065,372.5914166849135,258.86958649376066
